PLAYER,Country,Year,ScoringAvg,BirdieAvg,DrivingDistance,TotalDriving,GIR%,Scrambling,SG_Total,SG_ApproachGreen,SG_Putting,SG_OffTee,SG_AroundGreen,SG_TeeToGreen,Top10Finishes,#Wins,FedExCupPoints,WorldRank,Money
Jason Day,AUS,2018,69.603,4.18,310.0,155.0,65.28,62.35,1.285,-0.14,0.77,0.176,0.479,0.515,5,2,1771,6.16,5087461
Henrik Stenson,SWE,2018,69.617,3.64,291.5,140.0,73.51,60.67,1.153,0.96,-0.207,0.427,-0.027,1.36,5,0,868,3.96,2680487
Bryson DeChambeau,USA,2018,69.646,4.2,305.7,117.0,69.65,59.84,1.558,0.556,0.346,0.586,0.07,1.212,9,3,1617,6.91,8094489
Francesco Molinari,ITA,2018,69.797,3.77,301.0,98.0,70.24,58.67,1.123,0.593,-0.487,0.69,0.327,1.61,5,2,1682,7.17,5065842
Paul Casey,ENG,2018,69.85,3.77,304.3,109.0,67.84,60.58,0.966,0.586,0.133,0.138,0.109,0.833,5,1,1319,4.69,3641771
Rafa Cabrera Bello,ESP,2018,69.887,3.77,295.1,123.0,70.16,57.98,1.112,0.487,0.273,0.256,0.096,0.839,5,0,784,3.56,2449869
Patrick Cantlay,USA,2018,69.899,3.83,303.1,136.0,70.69,57.58,1.096,0.509,-0.182,0.622,0.146,1.278,7,1,1388,4.14,3963962
Jordan Spieth,USA,2018,69.904,4.16,299.8,160.0,70.47,61.63,0.83,0.409,-0.034,0.271,0.184,0.863,5,0,945,6.36,2793536
Zach Johnson,USA,2018,69.911,3.86,289.8,217.0,67.43,62.35,1.035,0.463,0.206,-0.059,0.425,0.829,2,0,839,2.42,1957635
Jon Rahm,ESP,2018,69.958,4.44,308.9,145.0,70.12,57.18,0.889,0.047,-0.151,0.817,0.176,1.039,5,1,1430,6.81,3992678
Alex Noren,SWE,2018,69.973,3.47,299.2,166.0,64.91,61.74,1.044,0.107,0.758,0.208,-0.029,0.286,3,0,989,4.75,2699150
Ryan Moore,USA,2018,70.015,3.5,289.2,167.0,68.8,64.16,0.941,0.532,-0.271,0.406,0.273,1.211,5,0,795,1.91,1986608
Hideki Matsuyama,JPN,2018,70.022,3.94,302.0,132.0,69.29,60.8,1.196,0.727,0.132,0.194,0.143,1.064,4,0,607,4.67,2687477
Tyrrell Hatton,ENG,2018,70.091,3.35,298.8,172.0,66.46,62.58,0.938,0.202,0.335,0.148,0.252,0.603,4,0,550,3.84,1943360
Phil Mickelson,USA,2018,70.098,4.31,300.3,246.0,64.88,58.36,0.931,0.555,0.51,-0.225,0.091,0.42,6,1,1546,4.03,4595187
Patrick Reed,USA,2018,70.106,3.76,298.1,256.0,63.57,62.94,0.947,0.187,0.164,0.051,0.545,0.783,7,1,1555,5.13,5006267
Emiliano Grillo,ARG,2018,70.152,3.89,295.2,114.0,68.84,61.05,1.133,0.345,0.546,0.364,-0.122,0.587,6,0,901,2.17,2493163
